code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0068297214869	abricots séchés au soleil		1		4	300											72.5	60			5	2.5				0.0318	0.0125		0.0003					0.009														0.05		0.0018																											
0069276120034	Sweet mango Chutney	https://static.openfoodfacts.org/images/products/006/927/612/0034/front_en.3.400.jpg	2	d	4	954		0.1	0								55.7	43.6				0.4				3	1.18110236220472																																										16	16							
00693752	Spicy mango chutney		1	d	3	908		1.7	0.8	0.42	0.83				0	0	49.3	46.9			0.4	0.4				1.6	0.62992125984252																																										18	18							
0069467908137	Raisin sultana	https://static.openfoodfacts.org/images/products/006/946/790/8137/front.5.400.jpg	0		3																																																																								
0069848049374	Confiture de myrtille		0	b		544		0	0								28	21				0.7				0	0																																										0	0							
00710084	Abricots Secs		2		3	770		0.6	0.1								36.5	36.5				4																																																							
0071022192004	Abricots • Malatya		0	c	1	460		0	0						0	0	27	15			2	1				25.4	10		0.00015					0														0.02		0.00072																			7	7							
0071725711564		https://static.openfoodfacts.org/images/products/007/172/571/1564/front_en.4.400.jpg	1		1																																																																								
00717524111128	Del Monte Banana from Guatemala	https://static.openfoodfacts.org/images/products/007/175/241/11128/front_en.5.400.jpg	0																																																																										
0072457990227	Fruit Spread Strawberry	https://static.openfoodfacts.org/images/products/007/245/799/0227/front_en.6.400.jpg	2	a	4	665		0.5	0.1								64	3			1	0.5				1e-05	3.93700787401575e-06		0					0														0		0													50						-1	-1							
0072810502449	Raisins	https://static.openfoodfacts.org/images/products/007/281/050/2449/front_en.6.400.jpg	0		1	1350		0									78.6	71.4			7.14	3.57				0.0454	0.0179																			0.786				0.00257													100														
0074117000086	Coulis framboise	https://static.openfoodfacts.org/images/products/007/411/700/0086/front.3.400.jpg	0																																																																										
0075700032491	Raisins secs Golden Sultanas		1	c	3	1314		0.5	0								72	70			4.1	2.5				0.02	0.0078740157480315																																										3	3							
0078742032467	BLUEBERRIES		1	d	4	1440		0	0	0	0				0	0	85	75			2.5	0				31.8	12.5		0					0					0							0		0		0																			17	17							
0078742033464	Trail Mix	https://static.openfoodfacts.org/images/products/007/874/203/3464/front_en.4.400.jpg	1	d	4	2092		10	9	13.64	4.55				0	0	8	8			6.1	3				2	0.78740157480315		0					0					3.3e-05							0.303		0.061		0.00218																			18	18							
0078742099866	Dried Mediterranean Apricots	https://static.openfoodfacts.org/images/products/007/874/209/9866/front_en.4.400.jpg	1	b	3	418		0	0	0	0				0	0	25	21			7.5	1				0.5	0.196850393700787		0.001125					0												1.15		0.05		0.0027																			2	2							
00788199	Berry & Almond Mix	https://static.openfoodfacts.org/images/products/00788199/front_en.3.400.jpg	0	d		1787			1.4									52.7			4.7	8				0.1	0.0393700787401575																																										12	12							
00806756	galia melon	https://static.openfoodfacts.org/images/products/00806756/front_en.4.400.jpg	0		1																																																																								
00807029	Seedless Red Grapes	https://static.openfoodfacts.org/images/products/00807029/front_en.3.400.jpg	0		1																																																																								
00816700	Seedless Navel Oranges	https://static.openfoodfacts.org/images/products/00816700/front_en.12.400.jpg	0		1																																																																								
00819473	Raspberry Conserve	https://static.openfoodfacts.org/images/products/00819473/front.3.400.jpg	0	c		1013		0.1	0.05								58.8	57.1				0.5				0.15	0.0590551181102362																																										8	8							
00819626	Strawberry conserve	https://static.openfoodfacts.org/images/products/00819626/front_en.6.400.jpg	3	c	4	1034		0.1	0.1								59.7	57			0.8	0.5				0.08001	0.0315																																										8	8							
00823692	Organic Sliced Apples	https://static.openfoodfacts.org/images/products/00823692/front_en.7.400.jpg	0	a	1	239	0	0	0						0	0	12.9	9.29			1.43	0				0	0		0					0.133														0.0571		0																			-4	-4							
0084380957444	Confiture (fraise)		0	c		908		0	0								52.17	47.83				0				0	0																																										7	7							
00847988	British Plum and Damson Soft Set Jam	https://static.openfoodfacts.org/images/products/00847988/front_en.12.400.jpg	1	c	3	1023		0.5	0.1								59.2	55.1			1.2	0.4				0.1	0.0393700787401575																																					65					10	10							
0084909000507	Tamarin sin pipas	https://static.openfoodfacts.org/images/products/008/490/900/0507/front.12.400.jpg	0	c		1084		0.6	0								57	37				3.1				0.24	0.094488188976378																																										6	6							
