code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
3421557401138	Tartines Craquantes, Biscottes		0	a		1506			0.4									5			7	10.5				1	0.393700787401575																																										-1	-1							
3421557401190	Ki'Kroc Tartines Noisettes		0	a		1590		4	0.5								76	7.8			3	9.5				0.4	0.15748031496063																																										-2	-2							
3421557604072	Tartines Craquantes 3 Céréales		0	a	3	1569		2.4	0.4								78	2.2			6	8.5				0.4	0.15748031496063																																										-5	-5							
3422820000027	5 Malicettes		8		4	1310		6.1	0.8								57	3.5			0	7.9																																																							
3422820000034	10 Minicettes		0	d		1385		8.9	1.2								54	3.7				8.7				1.5	0.590551181102362																																										11	11							
3422820000126	3 Pavés Bretzel		6	c	4	1238		5	0.9								55	3.3				7.1				1.6	0.62992125984252																																										5	5							
3422820000133	3 Pavés Bretzel Céréales		0	c		1301		7	1.1								54	3.2				7.9				1.5	0.590551181102362																																										6	6							
3422820000812	Bretzels boules		0	c		1289		6	0.8								56	3.4				7.8				1.5	0.590551181102362																																										5	5							
3422820000836	Bretzels boules sesame		0	d		1473		13	1.7								50	3.1				9.6				1.4	0.551181102362205																																										11	11							
3422820000874	Bretzels d'Alsace Bio Noués à la Main		4	d	4	1188		4.7	0.4								50	3.5				8.5				2.9	1.14173228346457																																										13	13							
3429711000517	Baguette de pain farinée	https://static.openfoodfacts.org/images/products/342/971/100/0517/front.5.400.jpg	2		4																																																																								
3429711100644	Dejeunettes		1		3																																																																								
3439495202106	Crouton		0	d		2209		30	2.6								55	3.8				7.8				2.1	0.826771653543307																																										17	17							
3439495203073	Croûton Ail		0	d	4	2209		30	2.6								55	3.8				7.8				2.1	0.826771653543307																																										17	17							
3439496000657	Pain de mie complet	https://static.openfoodfacts.org/images/products/343/949/600/0657/front.3.400.jpg	6	c	4	1054		1.7	0.6								47	5.2				9.8				1.18	0.464566929133858																																										4	4							
3439496001173	Toasts Briochés Spécial Foie Gras		4	c	4	1243		7	0.8								49	9.5			0	8				1.1	0.433070866141732																																										5	5							
3439496603506	Pain de Mie Complet		6	c	4	1054		1.7	0.6								47	5.2			0	9.8				1.18	0.464566929133858																																										4	4							
3439496603513	Pain de mie nature		0	c		1088		1.6	0.4								52.8	5.8				7.4				1.26	0.496062992125984																																										5	5							
3439496605241	Pain de Mie Nature		3	b	4	1109		3	0.45								50	5			3.33	8				1.2	0.47244094488189																																										2	2							
3439496605937	Bagels		0	c		1238		4.5	1.1								49.8	6.8				11.2				0.76	0.299212598425197																																										3	3							
3439496605968	Bagel pavot		0	b		1176		3.1	0.7								51.1	6.5				10.1				0.76	0.299212598425197																																										2	2							
3439496606170	Focaccia à l'Huile d'Olive Vierge Extra		0	d	3	1284		10	1.5								46	2.4				7.4				2	0.78740157480315																																										12	12							
3439496607221	Pain de mie nature		3	c	4	1159		4	0.6								50	7.2				8				1.1	0.433070866141732																																										4	4							
3439496607290	Giga Burgers Sésame		8	c	4	1146		5	0.7								47	6.4				8.7				1.5	0.590551181102362																																										5	5							
3439497003909	Biscottes au froment		1	d	3	1611		4.9	0.7								72.2	6.9				10.8				1.4	0.551181102362205																																										11	11							
3439497003916	Petits pains grillés au blé complet	https://static.openfoodfacts.org/images/products/343/949/700/3916/front.6.400.jpg	1	d	3	1701		9	4								64	2				12				1.4	0.551181102362205																																										14	14							
3439497007037	Biscottes		0	d		1611		4.9	0.7								72.2	6.9				10.8				1.4	0.551181102362205																																										11	11							
3439497007396	Petits pains grillés au froment		0	c		1753		9.1	1								73.2	7.6			0	9.8				1.1	0.433070866141732																																										5	5							
