code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
12613302	Muesli croustillant		0	d		1916		14	2.9								75	23				5.8				0.01	0.00393700787401575																																										12	12							
1323896241869	Zarte Haferflocken		0	a	3	1561		5.9	1.2								62	1.3			8.4	13				0.01	0.00393700787401575																																										-5	-5							
13927533	Country Store		0	c	4	1544		5	0.9								68	24			8	9				0.75	0.295275590551181																																										7	7							
1402978910005	Müsli (Muesli with dried berries)		0	c	3	1527		5.4	1								64	11				11				0.6	0.236220472440945																																										3	3							
140510	Sarrasin Soufflé au Miel Bio	https://static.openfoodfacts.org/images/products/140510/front.8.400.jpg	0	c	3	1657		3.8	2.3								82	27.6			4.5	5.2				0.03	0.0118110236220472																																										8	8							
14215353	ka'ré fourré		0																																																																										
16073296	super granola sans gluten		0	c		2084		29.6	7.9								38.1	11.3			6	17				0.01	0.00393700787401575																																										10	10							
2000000000836	Corn Flakes	https://static.openfoodfacts.org/images/products/200/000/000/0836/front.4.400.jpg	0		3	1610		1									82.7					8.2																																																							
2000000000842	Corn Flakes		0		3	1586		1									82.7					8.2																																																							
2000000020530	Granola Sans Gluten - Thank You My Deer	https://static.openfoodfacts.org/images/products/200/000/002/0530/front.5.400.jpg	0		3	2004		20.41									60.41					13.41																																																							
2000000024279	Gerblé muesli aux fruits	https://static.openfoodfacts.org/images/products/200/000/002/4279/front.10.400.jpg	0	a	3	1519		6.8	1.1								59	13			11	11				0.02	0.0078740157480315																																										-3	-3							
2000000024280	Crousti Muesli Fruits Rouges	https://static.openfoodfacts.org/images/products/200/000/002/4280/front.6.400.jpg	0	a	3	1690		10	1.1								61	8.2			13	11				0.56	0.220472440944882																																										-1	-1							
2000000032518	Muesli aux fraises		0	d	4	1565		6.1	1								62.8	28.2				12.7				0.3	0.118110236220472																																										11	11							
2000000033526	Muesli fruits rouges		0	a	3	1531		3.9	0.8								69.5	9.9			10.2	8.2				0.02	0.0078740157480315																																										-4	-4							
2000000036472	Dinkel Hafer Crunchy		0	c	3	1837		13	5.2								68	13			6.3	8.8				0.25	0.0984251968503937																																										8	8							
2000000037664	Trauben-Nuss Müsli		0	a	3	1574		10.5	2.7								53.5	11.1			10.9	11.1				0.07	0.0275590551181102																																										-2	-2							
